Row,FIPS,GENC,Country,Year
1,AF,AF,Afghanistan,2022
2,AL,AL,Albania,2022
3,AG,DZ,Algeria,2022
4,AQ,AS,American Samoa,2022
5,AN,AD,Andorra,2022
6,AO,AO,Angola,2022
7,AV,AI,Anguilla,2022
8,AC,AG,Antigua and Barbuda,2022
9,AR,AR,Argentina,2022
10,AM,AM,Armenia,2022
11,AA,AW,Aruba,2022
12,AS,AU,Australia,2022
13,AU,AT,Austria,2022
14,AJ,AZ,Azerbaijan,2022
15,BF,BS,"Bahamas, The",2022
16,BA,BH,Bahrain,2022
17,BG,BD,Bangladesh,2022
18,BB,BB,Barbados,2022
19,BO,BY,Belarus,2022
20,BE,BE,Belgium,2022
